Data,Matricula,Setor,Violacao_Minutos,Atestado,Dia_Semana
2026-01-01,MAT0001,Logística,0,0,Thursday
2026-01-01,MAT0002,Operacional,0,0,Thursday
2026-01-01,MAT0003,Operacional,0,0,Thursday
2026-01-01,MAT0004,Logística,0,1,Thursday
2026-01-01,MAT0005,Transporte,0,1,Thursday
2026-01-01,MAT0006,Transporte,0,0,Thursday
2026-01-01,MAT0007,Logística,0,1,Thursday
2026-01-01,MAT0008,Operacional,0,0,Thursday
2026-01-01,MAT0009,Transporte,0,0,Thursday
2026-01-01,MAT0010,Transporte,109,0,Thursday
2026-01-01,MAT0011,Operacional,0,0,Thursday
2026-01-01,MAT0012,Transporte,0,0,Thursday
2026-01-01,MAT0013,Expedição,0,0,Thursday
2026-01-01,MAT0014,Logística,0,0,Thursday
2026-01-01,MAT0015,Expedição,0,0,Thursday
2026-01-01,MAT0016,Operacional,0,0,Thursday
2026-01-01,MAT0017,Operacional,0,0,Thursday
2026-01-01,MAT0018,Operacional,0,0,Thursday
2026-01-01,MAT0019,Expedição,0,0,Thursday
2026-01-01,MAT0020,Operacional,0,0,Thursday
2026-01-01,MAT0021,Operacional,0,0,Thursday
2026-01-01,MAT0022,Logística,0,0,Thursday
2026-01-01,MAT0023,Logística,0,0,Thursday
2026-01-01,MAT0024,Transporte,103,0,Thursday
2026-01-01,MAT0025,Transporte,0,0,Thursday
2026-01-01,MAT0026,Operacional,0,0,Thursday
2026-01-01,MAT0027,Operacional,0,0,Thursday
2026-01-01,MAT0028,Logística,0,0,Thursday
2026-01-01,MAT0029,Expedição,0,0,Thursday
2026-01-01,MAT0030,Operacional,0,0,Thursday
2026-01-01,MAT0031,Expedição,0,0,Thursday
2026-01-01,MAT0032,Operacional,0,0,Thursday
2026-01-01,MAT0033,Operacional,0,0,Thursday
2026-01-01,MAT0034,Transporte,0,0,Thursday
2026-01-01,MAT0035,Transporte,0,0,Thursday
2026-01-01,MAT0036,Operacional,131,1,Thursday
2026-01-01,MAT0037,Operacional,0,0,Thursday
2026-01-01,MAT0038,Transporte,139,1,Thursday
2026-01-01,MAT0039,Logística,0,0,Thursday
2026-01-01,MAT0040,Operacional,0,0,Thursday
2026-01-01,MAT0041,Expedição,0,0,Thursday
2026-01-01,MAT0042,Operacional,0,0,Thursday
2026-01-01,MAT0043,Expedição,0,0,Thursday
2026-01-01,MAT0044,Expedição,0,0,Thursday
2026-01-01,MAT0045,Operacional,0,0,Thursday
2026-01-01,MAT0046,Expedição,0,0,Thursday
2026-01-01,MAT0047,Logística,169,0,Thursday
2026-01-01,MAT0048,Logística,0,0,Thursday
2026-01-01,MAT0049,Expedição,0,0,Thursday
2026-01-01,MAT0050,Transporte,0,0,Thursday
2026-01-01,MAT0051,Logística,0,0,Thursday
2026-01-01,MAT0052,Transporte,179,0,Thursday
2026-01-01,MAT0053,Operacional,0,0,Thursday
2026-01-01,MAT0054,Transporte,0,0,Thursday
2026-01-01,MAT0055,Expedição,163,0,Thursday
2026-01-01,MAT0056,Transporte,0,0,Thursday
2026-01-01,MAT0057,Transporte,161,0,Thursday
2026-01-01,MAT0058,Logística,0,0,Thursday
2026-01-01,MAT0059,Logística,0,0,Thursday
2026-01-01,MAT0060,Transporte,0,1,Thursday
2026-01-01,MAT0061,Expedição,0,0,Thursday
2026-01-01,MAT0062,Transporte,0,0,Thursday
2026-01-01,MAT0063,Expedição,0,0,Thursday
2026-01-01,MAT0064,Expedição,0,0,Thursday
2026-01-01,MAT0065,Logística,170,1,Thursday
2026-01-01,MAT0066,Logística,171,1,Thursday
2026-01-01,MAT0067,Operacional,0,0,Thursday
2026-01-01,MAT0068,Operacional,0,0,Thursday
2026-01-01,MAT0069,Expedição,0,0,Thursday
2026-01-01,MAT0070,Logística,0,0,Thursday
2026-01-01,MAT0071,Expedição,0,0,Thursday
2026-01-01,MAT0072,Logística,0,0,Thursday
2026-01-01,MAT0073,Operacional,0,0,Thursday
2026-01-01,MAT0074,Operacional,0,0,Thursday
2026-01-01,MAT0075,Expedição,0,0,Thursday
2026-01-01,MAT0076,Expedição,0,0,Thursday
2026-01-01,MAT0077,Operacional,0,0,Thursday
2026-01-01,MAT0078,Logística,0,0,Thursday
2026-01-01,MAT0079,Operacional,0,0,Thursday
2026-01-01,MAT0080,Transporte,114,0,Thursday
2026-01-01,MAT0081,Operacional,0,0,Thursday
2026-01-01,MAT0082,Transporte,0,0,Thursday
2026-01-01,MAT0083,Expedição,0,0,Thursday
2026-01-01,MAT0084,Logística,0,0,Thursday
2026-01-01,MAT0085,Transporte,0,0,Thursday
2026-01-01,MAT0086,Logística,179,1,Thursday
2026-01-01,MAT0087,Transporte,0,0,Thursday
2026-01-01,MAT0088,Expedição,0,0,Thursday
2026-01-01,MAT0089,Expedição,0,0,Thursday
2026-01-01,MAT0090,Operacional,123,0,Thursday
2026-01-01,MAT0091,Expedição,170,0,Thursday
2026-01-01,MAT0092,Operacional,0,0,Thursday
2026-01-01,MAT0093,Logística,167,1,Thursday
2026-01-01,MAT0094,Operacional,0,0,Thursday
2026-01-01,MAT0095,Transporte,0,1,Thursday
2026-01-01,MAT0096,Logística,0,0,Thursday
2026-01-01,MAT0097,Transporte,0,0,Thursday
2026-01-01,MAT0098,Expedição,0,0,Thursday
2026-01-01,MAT0099,Transporte,0,0,Thursday
2026-01-01,MAT0100,Transporte,0,0,Thursday
2026-01-01,MAT0101,Expedição,0,0,Thursday
2026-01-01,MAT0102,Operacional,0,0,Thursday
