Data,Matricula,Setor,Violacao_Minutos,Atestado
2026-01-01,MAT0001,Transporte,78,0
2026-01-01,MAT0002,Logística,0,0
2026-01-01,MAT0003,Operacional,0,0
2026-01-01,MAT0004,Administrativo,0,1
2026-01-01,MAT0005,Administrativo,0,0
2026-01-01,MAT0006,Transporte,0,0
2026-01-01,MAT0007,Administrativo,0,0
2026-01-01,MAT0008,Logística,0,0
2026-01-01,MAT0009,Logística,0,0
2026-01-01,MAT0010,Administrativo,0,0
2026-01-01,MAT0011,Operacional,71,0
2026-01-01,MAT0012,Transporte,0,0
2026-01-01,MAT0013,Administrativo,0,0
2026-01-01,MAT0014,Transporte,0,0
2026-01-01,MAT0015,Administrativo,0,0
2026-01-01,MAT0016,Administrativo,63,0
2026-01-01,MAT0017,Transporte,0,0
2026-01-01,MAT0018,Transporte,43,1
2026-01-01,MAT0019,Administrativo,0,0
2026-01-01,MAT0020,Administrativo,0,0
2026-01-01,MAT0021,Transporte,86,0
2026-01-01,MAT0022,Logística,0,0
2026-01-01,MAT0023,Administrativo,0,0
2026-01-01,MAT0024,Transporte,0,0
2026-01-01,MAT0025,Administrativo,0,0
2026-01-01,MAT0026,Operacional,0,0
2026-01-01,MAT0027,Operacional,0,0
2026-01-01,MAT0028,Operacional,135,0
2026-01-01,MAT0029,Administrativo,0,0
2026-01-01,MAT0030,Administrativo,0,0
2026-01-01,MAT0031,Administrativo,0,0
2026-01-01,MAT0032,Logística,59,1
2026-01-01,MAT0033,Transporte,0,0
2026-01-01,MAT0034,Administrativo,0,0
2026-01-01,MAT0035,Operacional,97,0
2026-01-01,MAT0036,Operacional,45,0
2026-01-01,MAT0037,Operacional,86,0
2026-01-01,MAT0038,Logística,118,0
2026-01-01,MAT0039,Transporte,0,0
2026-01-01,MAT0040,Administrativo,53,1
2026-01-01,MAT0041,Logística,0,0
2026-01-01,MAT0042,Logística,0,0
2026-01-01,MAT0043,Administrativo,0,0
2026-01-01,MAT0044,Transporte,0,0
2026-01-01,MAT0045,Logística,0,0
2026-01-01,MAT0046,Operacional,0,0
2026-01-01,MAT0047,Logística,78,1
2026-01-01,MAT0048,Operacional,0,0
2026-01-01,MAT0049,Administrativo,0,0
2026-01-01,MAT0050,Logística,0,0
2026-01-01,MAT0051,Logística,0,0
2026-01-01,MAT0052,Administrativo,0,0
2026-01-01,MAT0053,Logística,0,0
2026-01-01,MAT0054,Transporte,0,0
2026-01-01,MAT0055,Operacional,0,0
2026-01-01,MAT0056,Administrativo,0,0
2026-01-01,MAT0057,Administrativo,0,0
2026-01-01,MAT0058,Administrativo,143,0
2026-01-01,MAT0059,Logística,0,0
2026-01-01,MAT0060,Administrativo,0,0
2026-01-01,MAT0061,Logística,0,0
2026-01-01,MAT0062,Transporte,0,0
2026-01-01,MAT0063,Administrativo,0,0
2026-01-01,MAT0064,Operacional,0,0
2026-01-01,MAT0065,Transporte,0,0
2026-01-01,MAT0066,Administrativo,94,1
2026-01-01,MAT0067,Administrativo,0,0
2026-01-01,MAT0068,Logística,0,0
2026-01-01,MAT0069,Transporte,133,1
2026-01-01,MAT0070,Administrativo,0,0
2026-01-01,MAT0071,Administrativo,0,0
2026-01-01,MAT0072,Administrativo,0,0
2026-01-01,MAT0073,Operacional,92,0
2026-01-01,MAT0074,Administrativo,0,0
2026-01-01,MAT0075,Transporte,0,0
2026-01-01,MAT0076,Logística,0,0
2026-01-01,MAT0077,Logística,0,0
2026-01-01,MAT0078,Administrativo,0,0
2026-01-01,MAT0079,Administrativo,0,0
2026-01-01,MAT0080,Administrativo,0,0
2026-01-01,MAT0081,Logística,65,0
2026-01-01,MAT0082,Operacional,0,0
2026-01-01,MAT0083,Transporte,0,0
2026-01-01,MAT0084,Operacional,0,0
2026-01-01,MAT0085,Administrativo,0,0
2026-01-01,MAT0086,Logística,0,0
2026-01-01,MAT0087,Operacional,0,0
2026-01-01,MAT0088,Operacional,0,0
2026-01-01,MAT0089,Transporte,0,0
2026-01-01,MAT0090,Operacional,0,0
2026-01-01,MAT0091,Transporte,0,0
2026-01-01,MAT0092,Transporte,0,0
2026-01-01,MAT0093,Transporte,0,0
2026-01-01,MAT0094,Transporte,0,0
2026-01-01,MAT0095,Transporte,0,0
2026-01-01,MAT0096,Administrativo,0,0
2026-01-01,MAT0097,Operacional,0,0
2026-01-01,MAT0098,Transporte,0,0
2026-01-01,MAT0099,Logística,0,0
2026-01-01,MAT0100,Administrativo,0,0
2026-01-01,MAT0101,Administrativo,0,0
2026-01-01,MAT0102,Logística,0,0
2026-01-01,MAT0103,Operacional,0,0
2026-01-01,MAT0104,Operacional,0,0
2026-01-01,MAT0105,Operacional,0,0
2026-01-01,MAT0106,Logística,0,0
2026-01-01,MAT0107,Logística,0,0
2026-01-01,MAT0108,Administrativo,0,0
2026-01-01,MAT0109,Operacional,0,0
2026-01-01,MAT0110,Transporte,0,0
2026-01-01,MAT0111,Operacional,0,0
2026-01-01,MAT0112,Administrativo,0,0
2026-01-01,MAT0113,Transporte,0,0
2026-01-01,MAT0114,Administrativo,0,0
2026-01-01,MAT0115,Logística,0,0
2026-01-01,MAT0116,Operacional,0,0
2026-01-01,MAT0117,Operacional,0,0
2026-01-01,MAT0118,Operacional,0,0
2026-01-01,MAT0119,Administrativo,0,0
2026-01-01,MAT0120,Administrativo,121,0
2026-01-01,MAT0121,Administrativo,0,0
2026-01-01,MAT0122,Operacional,0,0
2026-01-01,MAT0123,Transporte,0,0
2026-01-01,MAT0124,Administrativo,0,0
2026-01-01,MAT0125,Logística,0,0
2026-01-01,MAT0126,Administrativo,0,0
2026-01-01,MAT0127,Operacional,0,0
2026-01-01,MAT0128,Operacional,0,0
2026-01-01,MAT0129,Transporte,0,0
2026-01-01,MAT0130,Administrativo,0,0
2026-01-01,MAT0131,Transporte,0,0
2026-01-01,MAT0132,Operacional,0,0
2026-01-01,MAT0133,Administrativo,0,0
2026-01-01,MAT0134,Operacional,0,0
2026-01-01,MAT0135,Transporte,0,0
2026-01-01,MAT0136,Logística,139,0
2026-01-01,MAT0137,Administrativo,0,0
2026-01-01,MAT0138,Administrativo,138,0
2026-01-01,MAT0139,Administrativo,0,0
2026-01-01,MAT0140,Operacional,0,0
2026-01-01,MAT0141,Operacional,0,0
2026-01-01,MAT0142,Logística,0,0
2026-01-01,MAT0143,Operacional,113,0
2026-01-01,MAT0144,Operacional,0,0
2026-01-01,MAT0145,Logística,0,0
2026-01-01,MAT0146,Operacional,0,0
2026-01-01,MAT0147,Operacional,112,0
2026-01-01,MAT0148,Logística,0,0
2026-01-01,MAT0149,Operacional,0,0
2026-01-01,MAT0150,Administrativo,0,0
2026-01-02,MAT0001,Transporte,122,0
2026-01-02,MAT0002,Logística,42,1
2026-01-02,MAT0003,Operacional,0,0
2026-01-02,MAT0004,Administrativo,46,0
2026-01-02,MAT0005,Administrativo,0,0
2026-01-02,MAT0006,Transporte,0,0
2026-01-02,MAT0007,Administrativo,0,0
2026-01-02,MAT0008,Logística,0,0
2026-01-02,MAT0009,Logística,0,0
2026-01-02,MAT0010,Administrativo,0,0
2026-01-02,MAT0011,Operacional,0,0
2026-01-02,MAT0012,Transporte,0,0
2026-01-02,MAT0013,Administrativo,0,0
2026-01-02,MAT0014,Transporte,0,0
2026-01-02,MAT0015,Administrativo,0,0
2026-01-02,MAT0016,Administrativo,0,0
2026-01-02,MAT0017,Transporte,0,0
2026-01-02,MAT0018,Transporte,0,0
2026-01-02,MAT0019,Administrativo,0,0
2026-01-02,MAT0020,Administrativo,0,0
2026-01-02,MAT0021,Transporte,0,0
2026-01-02,MAT0022,Logística,0,0
2026-01-02,MAT0023,Administrativo,0,0
2026-01-02,MAT0024,Transporte,0,0
2026-01-02,MAT0025,Administrativo,0,0
2026-01-02,MAT0026,Operacional,0,0
2026-01-02,MAT0027,Operacional,0,0
2026-01-02,MAT0028,Operacional,0,0
2026-01-02,MAT0029,Administrativo,0,0
2026-01-02,MAT0030,Administrativo,0,0
2026-01-02,MAT0031,Administrativo,0,0
2026-01-02,MAT0032,Logística,0,0
2026-01-02,MAT0033,Transporte,0,0
2026-01-02,MAT0034,Administrativo,0,0
2026-01-02,MAT0035,Operacional,81,1
2026-01-02,MAT0036,Operacional,0,0
2026-01-02,MAT0037,Operacional,0,0
2026-01-02,MAT0038,Logística,0,0
2026-01-02,MAT0039,Transporte,108,0
2026-01-02,MAT0040,Administrativo,0,0
2026-01-02,MAT0041,Logística,0,0
2026-01-02,MAT0042,Logística,0,0
2026-01-02,MAT0043,Administrativo,0,0
2026-01-02,MAT0044,Transporte,108,0
2026-01-02,MAT0045,Logística,146,0
2026-01-02,MAT0046,Operacional,39,0
2026-01-02,MAT0047,Logística,0,0
2026-01-02,MAT0048,Operacional,0,0
2026-01-02,MAT0049,Administrativo,0,0
2026-01-02,MAT0050,Logística,0,0
2026-01-02,MAT0051,Logística,0,0
2026-01-02,MAT0052,Administrativo,0,0
2026-01-02,MAT0053,Logística,0,0
2026-01-02,MAT0054,Transporte,0,0
2026-01-02,MAT0055,Operacional,42,1
2026-01-02,MAT0056,Administrativo,0,0
2026-01-02,MAT0057,Administrativo,0,0
2026-01-02,MAT0058,Administrativo,0,0
2026-01-02,MAT0059,Logística,0,0
2026-01-02,MAT0060,Administrativo,0,0
2026-01-02,MAT0061,Logística,0,0
2026-01-02,MAT0062,Transporte,0,0
