Data,Matricula,Setor,Violacao_Minutos,Atestado
2026-01-01,MAT0001,Logística,159,0
2026-01-01,MAT0002,Operacional,0,0
2026-01-01,MAT0003,Transporte,0,0
2026-01-01,MAT0004,Operacional,0,0
2026-01-01,MAT0005,Operacional,0,0
2026-01-01,MAT0006,Logística,0,0
2026-01-01,MAT0007,Operacional,0,0
2026-01-01,MAT0008,Operacional,0,0
2026-01-01,MAT0009,Transporte,0,0
2026-01-01,MAT0010,Transporte,0,0
2026-01-01,MAT0011,Logística,0,0
2026-01-01,MAT0012,Operacional,0,0
2026-01-01,MAT0013,Logística,0,0
2026-01-01,MAT0014,Operacional,0,0
2026-01-01,MAT0015,Logística,0,0
2026-01-01,MAT0016,Transporte,0,0
2026-01-01,MAT0017,Operacional,0,0
2026-01-01,MAT0018,Operacional,0,0
2026-01-01,MAT0019,Logística,0,0
2026-01-01,MAT0020,Operacional,0,0
2026-01-01,MAT0021,Logística,0,0
2026-01-01,MAT0022,Transporte,131,0
2026-01-01,MAT0023,Logística,0,0
2026-01-01,MAT0024,Logística,0,0
2026-01-01,MAT0025,Transporte,0,0
2026-01-01,MAT0026,Logística,0,0
2026-01-01,MAT0027,Logística,0,0
2026-01-01,MAT0028,Transporte,0,0
2026-01-01,MAT0029,Operacional,0,0
2026-01-01,MAT0030,Transporte,163,1
2026-01-01,MAT0031,Transporte,0,0
2026-01-01,MAT0032,Logística,0,0
2026-01-01,MAT0033,Logística,0,0
2026-01-01,MAT0034,Transporte,0,0
2026-01-01,MAT0035,Transporte,138,1
2026-01-01,MAT0036,Operacional,0,0
2026-01-01,MAT0037,Operacional,0,0
2026-01-01,MAT0038,Logística,0,0
2026-01-01,MAT0039,Operacional,0,0
2026-01-01,MAT0040,Transporte,0,0
2026-01-01,MAT0041,Logística,0,0
2026-01-01,MAT0042,Transporte,0,0
2026-01-01,MAT0043,Operacional,0,0
2026-01-01,MAT0044,Transporte,0,0
2026-01-01,MAT0045,Logística,0,0
2026-01-01,MAT0046,Operacional,113,0
2026-01-01,MAT0047,Operacional,0,0
2026-01-01,MAT0048,Operacional,0,0
2026-01-01,MAT0049,Transporte,0,0
2026-01-01,MAT0050,Operacional,0,0
2026-01-01,MAT0051,Logística,0,0
2026-01-01,MAT0052,Logística,0,0
2026-01-01,MAT0053,Operacional,0,0
2026-01-01,MAT0054,Operacional,0,0
2026-01-01,MAT0055,Logística,0,0
2026-01-01,MAT0056,Logística,0,0
2026-01-01,MAT0057,Operacional,0,0
2026-01-01,MAT0058,Logística,0,1
2026-01-01,MAT0059,Logística,137,1
2026-01-01,MAT0060,Logística,0,0
2026-01-01,MAT0061,Logística,0,0
2026-01-01,MAT0062,Transporte,0,0
2026-01-01,MAT0063,Logística,0,0
2026-01-01,MAT0064,Operacional,0,0
2026-01-01,MAT0065,Operacional,122,1
2026-01-01,MAT0066,Logística,0,0
2026-01-01,MAT0067,Operacional,0,0
2026-01-01,MAT0068,Operacional,0,0
2026-01-01,MAT0069,Operacional,0,0
2026-01-01,MAT0070,Logística,0,0
2026-01-01,MAT0071,Operacional,0,0
2026-01-01,MAT0072,Transporte,0,0
2026-01-01,MAT0073,Logística,123,0
2026-01-01,MAT0074,Logística,0,0
2026-01-01,MAT0075,Operacional,108,0
2026-01-01,MAT0076,Transporte,0,0
2026-01-01,MAT0077,Logística,0,0
2026-01-01,MAT0078,Logística,0,0
2026-01-01,MAT0079,Transporte,0,0
2026-01-01,MAT0080,Logística,0,0
2026-01-01,MAT0081,Transporte,0,0
2026-01-01,MAT0082,Operacional,161,1
2026-01-01,MAT0083,Transporte,0,0
2026-01-01,MAT0084,Logística,0,0
2026-01-01,MAT0085,Transporte,0,0
2026-01-01,MAT0086,Logística,0,0
2026-01-01,MAT0087,Operacional,0,0
2026-01-01,MAT0088,Operacional,0,0
2026-01-01,MAT0089,Logística,0,0
2026-01-01,MAT0090,Transporte,126,1
2026-01-01,MAT0091,Operacional,0,0
2026-01-01,MAT0092,Operacional,0,0
2026-01-01,MAT0093,Operacional,0,0
2026-01-01,MAT0094,Logística,0,0
2026-01-01,MAT0095,Logística,0,0
2026-01-01,MAT0096,Operacional,158,0
2026-01-01,MAT0097,Transporte,0,0
2026-01-01,MAT0098,Transporte,101,0
2026-01-01,MAT0099,Logística,0,0
2026-01-01,MAT0100,Transporte,0,0
2026-01-01,MAT0101,Logística,0,1
2026-01-01,MAT0102,Transporte,0,0
2026-01-01,MAT0103,Transporte,0,0
2026-01-01,MAT0104,Operacional,0,0
2026-01-01,MAT0105,Logística,0,0
2026-01-01,MAT0106,Operacional,0,0
2026-01-01,MAT0107,Operacional,0,0
2026-01-01,MAT0108,Transporte,0,0
2026-01-01,MAT0109,Logística,0,0
2026-01-01,MAT0110,Operacional,131,1
2026-01-01,MAT0111,Logística,0,0
2026-01-01,MAT0112,Operacional,0,0
2026-01-01,MAT0113,Operacional,0,0
2026-01-01,MAT0114,Logística,0,0
2026-01-01,MAT0115,Operacional,0,0
2026-01-01,MAT0116,Transporte,0,0
2026-01-01,MAT0117,Transporte,0,0
2026-01-01,MAT0118,Logística,0,0
2026-01-01,MAT0119,Operacional,118,0
2026-01-01,MAT0120,Operacional,0,0
2026-01-01,MAT0121,Logística,0,0
2026-01-01,MAT0122,Logística,0,0
2026-01-01,MAT0123,Operacional,0,0
2026-01-01,MAT0124,Operacional,0,0
2026-01-01,MAT0125,Operacional,0,0
2026-01-01,MAT0126,Transporte,0,0
2026-01-01,MAT0127,Logística,0,0
2026-01-01,MAT0128,Operacional,0,0
2026-01-01,MAT0129,Operacional,0,0
2026-01-01,MAT0130,Transporte,0,0
2026-01-01,MAT0131,Operacional,0,0
2026-01-01,MAT0132,Operacional,0,0
2026-01-01,MAT0133,Transporte,0,1
2026-01-01,MAT0134,Transporte,163,1
2026-01-01,MAT0135,Transporte,0,0
2026-01-01,MAT0136,Transporte,0,0
2026-01-01,MAT0137,Transporte,0,0
2026-01-01,MAT0138,Operacional,0,0
2026-01-01,MAT0139,Transporte,97,0
2026-01-01,MAT0140,Logística,152,1
2026-01-01,MAT0141,Transporte,0,0
2026-01-01,MAT0142,Operacional,0,0
2026-01-01,MAT0143,Transporte,0,0
2026-01-01,MAT0144,Transporte,0,0
2026-01-01,MAT0145,Operacional,121,0
2026-01-01,MAT0146,Operacional,0,0
2026-01-01,MAT0147,Logística,0,0
2026-01-01,MAT0148,Operacional,0,0
2026-01-01,MAT0149,Transporte,0,0
2026-01-01,MAT0150,Operacional,0,0
2026-01-02,MAT0001,Logística,0,0
2026-01-02,MAT0002,Operacional,0,0
2026-01-02,MAT0003,Transporte,0,0
2026-01-02,MAT0004,Operacional,0,0
2026-01-02,MAT0005,Operacional,0,0
2026-01-02,MAT0006,Logística,0,0
2026-01-02,MAT0007,Operacional,0,0
2026-01-02,MAT0008,Operacional,93,0
2026-01-02,MAT0009,Transporte,0,0
2026-01-02,MAT0010,Transporte,0,0
2026-01-02,MAT0011,Logística,0,0
2026-01-02,MAT0012,Operacional,0,0
2026-01-02,MAT0013,Logística,0,0
2026-01-02,MAT0014,Operacional,0,0
2026-01-02,MAT0015,Logística,0,1
2026-01-02,MAT0016,Transporte,153,0
2026-01-02,MAT0017,Operacional,0,0
2026-01-02,MAT0018,Operacional,0,0
2026-01-02,MAT0019,Logística,0,0
2026-01-02,MAT0020,Operacional,166,1
2026-01-02,MAT0021,Logística,0,0
2026-01-02,MAT0022,Transporte,163,1
2026-01-02,MAT0023,Logística,0,0
2026-01-02,MAT0024,Logística,0,1
2026-01-02,MAT0025,Transporte,0,0
2026-01-02,MAT0026,Logística,0,0
2026-01-02,MAT0027,Logística,0,0
2026-01-02,MAT0028,Transporte,0,0
2026-01-02,MAT0029,Operacional,0,0
2026-01-02,MAT0030,Transporte,0,0
2026-01-02,MAT0031,Transporte,0,0
2026-01-02,MAT0032,Logística,0,0
2026-01-02,MAT0033,Logística,0,0
2026-01-02,MAT0034,Transporte,0,0
2026-01-02,MAT0035,Transporte,0,0
2026-01-02,MAT0036,Operacional,0,0
2026-01-02,MAT0037,Operacional,0,0
2026-01-02,MAT0038,Logística,0,0
2026-01-02,MAT0039,Operacional,0,0
2026-01-02,MAT0040,Transporte,0,0
2026-01-02,MAT0041,Logística,0,0
